Date,Open,High,Low,Close,Adj Close,Volume
1980-07-09,14.758604,15.027486,14.639101,14.698853,4.452917,1999115
1980-07-10,14.698853,14.907983,14.639101,14.728728,4.461966,1472350
1980-07-11,14.728728,15.027486,14.728728,14.997610,4.543421,1804559
1980-07-14,14.997610,15.535373,14.997610,15.535373,4.706331,2112083
1980-07-15,15.535373,15.595124,15.236616,15.236616,4.615828,2315007
1980-07-16,15.236616,15.445746,15.206740,15.356119,4.652032,2210407
1980-07-17,15.356119,15.684751,15.296367,15.684751,4.751584,1276120
1980-07-18,15.684751,15.714627,15.505497,15.565249,4.715384,1833010
1980-07-21,15.565249,15.774379,15.356119,15.774379,4.778738,1829245
1980-07-22,15.774379,15.804254,15.475621,15.565249,4.715384,2313752
1980-07-23,15.565249,15.625000,15.385994,15.505497,4.697281,1878616
1980-07-24,15.505497,15.535373,15.356119,15.475621,4.688234,1662722
1980-07-25,15.445746,15.445746,15.266491,15.385994,4.661081,1572347
1980-07-28,15.385994,15.595124,15.296367,15.535373,4.706331,1133027
1980-07-29,15.535373,15.654876,15.385994,15.565249,4.715384,1717950
1980-07-30,15.565249,15.774379,15.565249,15.654876,4.742536,2325049
1980-07-31,15.625000,15.625000,15.385994,15.595124,4.724434,2694914
1980-08-01,15.595124,15.625000,15.385994,15.565249,4.715384,1885729
1980-08-04,15.535373,15.535373,15.415870,15.475621,4.688234,1563142
1980-08-05,15.475621,15.625000,15.326243,15.356119,4.652032,1321307
1980-08-06,15.356119,15.684751,15.296367,15.684751,4.751584,1676947
1980-08-07,15.684751,15.714627,15.475621,15.714627,4.823854,2139698
1980-08-08,15.714627,15.834130,15.595124,15.595124,4.787169,3118335
1980-08-11,15.595124,15.953633,15.565249,15.953633,4.897220,1775690
1980-08-12,15.953633,16.252390,15.864006,15.953633,4.897220,2940934
1980-08-13,15.953633,16.132887,15.893881,15.953633,4.897220,1892005
1980-08-14,15.953633,16.521273,15.953633,16.461519,5.053123,1977777
1980-08-15,16.461519,16.521273,16.312141,16.431644,5.043950,2163128
1980-08-18,16.252390,16.252390,15.864006,15.864006,4.869706,2304966
1980-08-19,15.864006,16.013384,15.744503,15.774379,4.842195,1891168
1980-08-20,15.774379,16.222513,15.744503,15.983509,4.906388,1421723
1980-08-21,15.983509,16.192638,15.923757,16.132887,4.952246,1144742
1980-08-22,16.132887,16.461519,16.103010,16.103010,4.943074,1713766
1980-08-25,16.103010,16.132887,15.923757,16.043261,4.924731,1028846
1980-08-26,16.043261,16.192638,15.923757,15.953633,4.897220,1979869
1980-08-27,15.953633,16.013384,15.744503,15.744503,4.833023,2476510
1980-08-28,15.744503,15.774379,15.505497,15.535373,4.768828,1765230
1980-08-29,15.535373,15.684751,15.475621,15.654876,4.805511,1582389
1980-09-02,15.654876,15.893881,15.625000,15.804254,4.851367,1222565
1980-09-03,15.804254,16.132887,15.804254,16.132887,4.952246,1492851
1980-09-04,16.132887,16.282267,15.834130,15.923757,4.888048,2295761
1980-09-05,15.923757,16.073135,15.804254,15.893881,4.878878,1002905
1980-09-08,15.893881,15.923757,15.356119,15.356119,4.713802,1057297
1980-09-09,15.356119,15.834130,15.326243,15.804254,4.851367,1726318
1980-09-10,15.804254,15.834130,15.595124,15.714627,4.823854,1575276
1980-09-11,15.714627,15.864006,15.714627,15.864006,4.869706,1782384
1980-09-12,15.864006,15.893881,15.714627,15.744503,4.833023,1809162
1980-09-15,15.744503,15.834130,15.535373,15.804254,4.851367,1363566
1980-09-16,15.804254,15.864006,15.595124,15.684751,4.814679,1791589
1980-09-17,15.684751,16.222513,15.684751,16.073135,4.933906,3470628
1980-09-18,16.073135,16.103010,15.834130,15.893881,4.878878,4292784
1980-09-19,15.893881,16.132887,15.834130,16.013384,4.915563,2296179
1980-09-22,16.013384,16.342016,15.893881,16.282267,4.998098,2380278
1980-09-23,16.282267,16.491396,15.684751,15.983509,4.906388,3844678
1980-09-24,15.983509,16.252390,15.953633,16.132887,4.952246,2291577
1980-09-25,16.132887,16.222513,15.804254,15.804254,4.851367,2678597
1980-09-26,15.744503,15.744503,15.356119,15.445746,4.741313,2896583
1980-09-29,15.356119,15.356119,15.146989,15.236616,4.677121,2788218
1980-09-30,15.266491,15.415870,15.266491,15.326243,4.704630,2167312
1980-10-01,15.326243,15.684751,15.206740,15.445746,4.741313,2531738
1980-10-02,15.445746,15.625000,15.326243,15.625000,4.796339,2000370
1980-10-03,15.654876,16.013384,15.654876,15.834130,4.860538,2080285
1980-10-06,15.893881,16.312141,15.893881,16.252390,4.988929,3090302
1980-10-07,16.252390,16.312141,16.043261,16.192638,4.970585,2920432
1980-10-08,16.252390,16.820028,16.252390,16.730402,5.135660,4895280
1980-10-09,16.730402,16.939531,16.670650,16.760277,5.144829,4958040
1980-10-10,16.760277,17.088909,16.521273,16.551147,5.080635,4619136
1980-10-13,16.551147,16.909657,16.551147,16.849903,5.172342,1546406
1980-10-14,16.849903,16.939531,16.610899,16.670650,5.117321,3005367
1980-10-15,16.640774,16.820028,16.640774,16.820028,5.163172,1458961
1980-10-16,16.820028,16.999283,16.371893,16.401770,5.034782,3888191
1980-10-17,16.401770,16.581022,16.192638,16.252390,4.988929,2333835
1980-10-20,16.252390,16.371893,15.893881,16.371893,5.025610,1976103
1980-10-21,16.371893,16.461519,16.132887,16.252390,4.988929,2632573
1980-10-22,16.252390,16.282267,16.132887,16.192638,4.970585,1837613
1980-10-23,16.192638,16.192638,15.684751,15.744503,4.833023,1890331
1980-10-24,15.744503,15.923757,15.654876,15.923757,4.888048,1941794
1980-10-27,15.893881,15.893881,15.714627,15.804254,4.851367,1020059
1980-10-28,15.804254,15.953633,15.744503,15.923757,4.888048,2037190
1980-10-29,15.923757,16.043261,15.654876,15.654876,4.805511,1607074
1980-10-30,15.654876,15.834130,15.565249,15.565249,4.777997,1648914
1980-10-31,15.595124,16.073135,15.595124,15.923757,4.888048,2258523
1980-11-03,15.953633,16.162764,15.953633,16.132887,4.952246,1588246
1980-11-05,16.252390,16.790154,16.252390,16.371893,5.090469,4631688
1980-11-06,16.282267,16.282267,15.834130,15.893881,4.941839,2505798
1980-11-07,15.893881,16.043261,15.893881,16.043261,4.988286,1829663
1980-11-10,16.043261,16.073135,15.893881,16.073135,4.997575,1474442
1980-11-11,16.073135,16.192638,15.983509,16.043261,4.988286,1301642
1980-11-12,16.073135,16.999283,16.073135,16.939531,5.266964,4493616
1980-11-13,16.939531,17.118786,16.790154,17.029160,5.294829,5518696
1980-11-14,17.029160,17.268164,16.820028,17.118786,5.322696,3778570
1980-11-17,17.118786,17.148663,16.879780,17.118786,5.322696,3184024
1980-11-18,17.118786,17.357792,17.118786,17.208412,5.350564,3575646
1980-11-19,17.208412,17.387667,17.029160,17.059034,5.304118,2695751
1980-11-20,17.059034,17.268164,16.879780,17.208412,5.350564,2020035
1980-11-21,17.118786,17.118786,16.760277,16.820028,5.229804,1580715
1980-11-24,16.820028,16.820028,16.610899,16.820028,5.229804,2153923
1980-11-25,16.820028,16.879780,16.610899,16.610899,5.164783,1968572
1980-11-26,16.610899,16.670650,16.401770,16.431644,5.109047,2207897
1980-11-28,16.431644,16.461519,16.162764,16.282267,5.062599,1687407
1980-12-01,16.252390,16.252390,15.893881,15.893881,4.941839,2096184
1980-12-02,15.893881,16.252390,15.834130,16.222513,5.044021,2581946
1980-12-03,16.222513,16.491396,16.132887,16.252390,5.053313,2343040
1980-12-04,16.252390,16.610899,16.132887,16.342016,5.081181,2337601
1980-12-05,16.342016,16.461519,16.132887,16.132887,5.016153,2008320
1980-12-08,16.073135,16.073135,15.774379,15.864006,4.932549,2956833
1980-12-09,15.864006,15.953633,15.684751,15.804254,4.913972,3663092
1980-12-10,15.804254,15.893881,15.236616,15.236616,4.737479,2040118
1980-12-11,15.236616,15.415870,15.117113,15.415870,4.793214,3030471
1980-12-12,15.415870,15.774379,15.385994,15.714627,4.886105,2546801
1980-12-15,15.714627,15.864006,15.415870,15.415870,4.793214,1408334
1980-12-16,15.415870,15.834130,15.385994,15.834130,4.923262,1914598
1980-12-17,15.774379,15.774379,15.475621,15.595124,4.848948,2135514
1980-12-18,15.595124,15.684751,15.206740,15.206740,4.728190,2739683
1980-12-19,15.236616,15.505497,15.236616,15.445746,4.802501,4230024
1980-12-22,15.445746,16.073135,15.415870,16.043261,4.988286,2281535
1980-12-23,16.043261,16.282267,15.983509,16.073135,4.997575,2452242
1980-12-24,16.073135,16.431644,16.013384,16.371893,5.090469,1214615
1980-12-26,16.371893,16.491396,16.342016,16.491396,5.127625,716719
1980-12-29,16.491396,16.610899,16.192638,16.252390,5.053313,1448082
1980-12-30,16.252390,16.551147,16.222513,16.401770,5.099759,1559795
1980-12-31,16.401770,16.521273,16.132887,16.222513,5.044021,1569837
1981-01-02,16.222513,16.551147,16.162764,16.521273,5.136914,1224238
1981-01-05,16.610899,16.909657,16.610899,16.790154,5.220514,3257244
1981-01-06,16.790154,17.088909,16.640774,17.088909,5.313407,4075216
1981-01-07,16.760277,16.760277,16.521273,16.610899,5.164783,4987328
1981-01-08,16.610899,16.670650,16.103010,16.162764,5.025444,2656003
1981-01-09,16.162764,16.252390,15.953633,16.103010,5.006865,1604564
1981-01-12,16.103010,16.252390,15.834130,15.953633,4.960420,2458937
1981-01-13,15.953633,15.953633,15.595124,15.893881,4.941839,2893654
1981-01-14,15.893881,16.132887,15.864006,15.953633,4.960420,1879453
1981-01-15,15.953633,15.953633,15.684751,15.714627,4.886105,1906649
1981-01-16,15.714627,16.013384,15.714627,15.983509,4.969707,3525857
1981-01-19,15.983509,16.073135,15.864006,15.923757,4.951130,2325886
1981-01-20,15.923757,16.043261,15.475621,15.535373,4.830369,2495338
1981-01-21,15.535373,15.684751,15.445746,15.565249,4.839658,1786150
1981-01-22,15.565249,15.625000,15.415870,15.595124,4.848948,1463145
1981-01-23,15.595124,15.684751,15.505497,15.535373,4.830369,1145161
1981-01-26,15.535373,15.654876,15.445746,15.535373,4.830369,1280722
1981-01-27,15.535373,15.744503,15.535373,15.654876,4.867528,1339717
1981-01-28,15.654876,15.684751,15.415870,15.445746,4.802501,1153110
1981-01-29,15.445746,15.654876,15.415870,15.505497,4.821080,1536783
1981-01-30,15.505497,15.654876,15.296367,15.385994,4.783923,1498290
1981-02-02,15.385994,15.385994,15.057361,15.146989,4.709610,1596614
1981-02-03,15.146989,15.356119,15.146989,15.356119,4.774635,1463982
1981-02-04,15.356119,15.475621,15.206740,15.415870,4.793214,1786568
1981-02-05,15.415870,15.415870,15.266491,15.296367,4.820329,1215870
1981-02-06,15.296367,15.475621,15.296367,15.356119,4.839159,1909578
1981-02-09,15.356119,15.385994,15.117113,15.176864,4.782669,1194114
1981-02-10,15.176864,15.206740,14.997610,15.057361,4.745010,1642638
1981-02-11,15.057361,15.117113,14.907983,14.967734,4.716763,1500801
1981-02-12,14.967734,14.997610,14.758604,14.758604,4.650863,1335114
1981-02-13,14.758604,14.848231,14.639101,14.758604,4.650863,1566908
1981-02-17,14.758604,14.937859,14.728728,14.818356,4.669692,1635526
1981-02-18,14.818356,14.907983,14.728728,14.818356,4.669692,1670671
1981-02-19,14.818356,14.878107,14.609226,14.639101,4.613204,1833847
1981-02-20,14.639101,14.728728,14.400096,14.459847,4.556716,1429673
1981-02-23,14.459847,14.907983,14.459847,14.818356,4.669692,2453498
1981-02-24,14.818356,14.967734,14.788480,14.848231,4.679110,2188232
1981-02-25,14.848231,15.356119,14.788480,15.356119,4.839159,2098276
1981-02-26,15.356119,15.505497,15.146989,15.475621,4.876815,2679015
1981-02-27,15.415870,15.415870,15.236616,15.356119,4.839159,1956020
